"id","visit_date","survey_type","species","capture_life_stage","length","weight","bd_load","sample_id"
84309,2013-06-21,cmr,ramu,adult,51,15,96.0,DESO1170
10100,2015-09-09,cmr,ramu,adult,69,33,2316880.0,RKS19591
70550,2007-07-01,cmr,ramu,adult,55,18,36336.0,RKS4954
72996,2006-08-20,swab,ramu,adult,51,12,9552.0,RKS2426
72996,2008-06-27,cmr,ramu,adult,54,12,96.0,RKS6207
10248,2006-09-10,swab,ramu,adult,43,8,1967.9999999999998,RKS4760
72996,2009-07-03,cmr,ramu,adult,55,13,1248.0,RKS7389
70550,2008-07-16,cmr,ramu,adult,56,18,672.0000000000001,RKS6450
72808,2015-06-08,cmr,ramu,adult,56,23,105.12,RKS17568
70550,2015-07-11,cmr,ramu,adult,48,14,25865.76,RKS17986
72996,2009-07-03,cmr,ramu,adult,54,12,1824.0,RKS7400
10102,2015-08-25,cmr,ramu,adult,47,9,360400.0,RKS20371
72808,2015-07-06,cmr,ramu,adult,52,21,493.44,RKS18321
84309,2013-09-13,cmr,ramu,adult,54,18,1200.0,DESO1709
70413,2013-09-07,cmr,ramu,adult,62,29,3360.0,YFS264
10244,2006-09-11,swab,ramu,adult,36,5,48.0,RKS4825
10101,2015-08-27,cmr,ramu,adult,44,8,18978400,RKS19800
10285,2014-07-08,cmr,ramu,adult,52,18,144.0,RKS16127
70505,2015-06-22,cmr,ramu,adult,61,25,985.92,RKS17883
70563,2010-07-06,swab,ramu,adult,70,39,768.0,RKS9830
84309,2014-08-06,cmr,ramu,adult,50,17,18144.0,DESO2142
70550,2015-09-02,cmr,ramu,adult,67,37,25043.04,RKS19530
70550,2013-08-20,cmr,ramu,adult,57,16,1920.0,USGS1582
72996,2005-09-21,cmr,ramu,adult,48,12,144.0,RKS2355
84309,2014-08-07,cmr,ramu,adult,49,15,6480.0,DESO2378
72996,2006-07-17,cmr,ramu,adult,51,10,20832.0,RKS2433
72996,2007-07-30,cmr,ramu,adult,53,13,864.0,RKS5852
72996,2007-07-30,cmr,ramu,adult,54,15,3024.0,RKS5858
70279,2013-08-14,cmr,ramu,adult,64,21,8112.0,YFS196
10100,2015-09-09,cmr,ramu,adult,54,18,7596720.0,RKS20460
72808,2015-07-06,cmr,ramu,adult,56,20,2160.0,RKS18297
72996,2006-07-17,cmr,ramu,adult,53,12,240.0,RKS3791
70550,2014-08-11,cmr,ramu,adult,71,45,157967.99999999997,RKS17791
70550,2010-08-13,swab,ramu,adult,43,8,24240.0,RKS10768
21111,2007-09-05,swab,ramu,adult,52,14,336.00000000000006,RKS5655
72996,2013-07-14,cmr,ramu,adult,54,13,1008.0,RKS16370
11858,2005-08-01,swab,ramu,adult,38,6,4080.0,RKS1699
70550,2016-08-10,cmr,ramu,adult,46,10,270974.408,RKS21939
72996,2007-06-18,cmr,ramu,adult,51,12,266994240,RKS2528
70563,2009-09-22,swab,ramu,adult,59,26,3311.9999999999995,RKS9512
70736,2008-08-27,swab,ramu,adult,63,32,4416.0,RKS6930
10101,2016-06-24,cmr,ramu,adult,45,12,640.0,RKS21026
70550,2016-07-13,cmr,ramu,adult,41,7,513421.584,RKS21400
70550,2006-08-21,cmr,ramu,adult,49,13,25104.000000000004,RKS3869
11858,2015-08-27,cmr,ramu,adult,55,18,771593.28,RKS19761
10100,2015-09-10,cmr,ramu,adult,52,15,4519244.64,RKS20501
70505,2015-07-20,cmr,ramu,adult,49,13,1520.0,RKS18872
84309,2013-08-21,cmr,ramu,adult,42,8,288.0,DESO1357
70550,2006-09-27,cmr,ramu,adult,46,10,17472.0,RKS4092
10206,2005-09-15,swab,ramu,adult,42,9,1584.0,RKS1879
70550,2006-08-21,cmr,ramu,adult,54,18,117120.0,RKS3861
10101,2015-08-24,cmr,ramu,adult,49,10,54232.8,RKS18740
10100,2015-09-10,cmr,ramu,adult,55,15,11721674.88,RKS20421
70736,2009-08-26,swab,ramu,adult,47,14,672.0000000000001,RKS8812
70413,2013-07-26,cmr,ramu,adult,50,10,96.0,YFS404
84221,2013-09-11,cmr,ramu,adult,54,19,3696.0,DESO1670
72336,2015-08-15,cmr,ramu,adult,51,15,926.4,RKS18462
10100,2015-09-08,cmr,ramu,adult,57,18,6920720.0,RKS19646
72996,2007-06-01,swab,ramu,adult,51,18,15408.0,RKS2535
84309,2014-08-07,cmr,ramu,adult,46,10,1056.0,DESO2374
72808,2015-08-13,cmr,ramu,adult,55,22,14655.84,RKS18503
72996,2007-08-29,cmr,ramu,adult,54,12,2448.0,RKS6003
72996,2006-07-17,cmr,ramu,adult,54,12,16560.0,RKS3789
72996,2006-07-17,cmr,ramu,adult,57,14,624.0,RKS3810
72974,2006-09-19,swab,ramu,adult,69,32,384.0,RKS4070
84221,2014-09-10,cmr,ramu,adult,58,28,2976.0,DESO2483
72996,2006-07-17,swab,ramu,adult,60,17,15216.0,RKS2432
50170,2010-09-13,cmr,ramu,adult,47,8,9220896.0,RKS11722
70550,2006-09-27,cmr,ramu,adult,51,16,1967.9999999999998,RKS4086
72808,2015-09-13,cmr,ramu,adult,55,18,1004.64,RKS20591
10316,2006-08-26,swab,ramu,adult,45,10,189167.99999999997,RKS4510
70550,2015-08-05,cmr,ramu,adult,46,10,133440.0,RKS19376
11858,2015-08-25,cmr,ramu,adult,43,10,1291120.0,RKS19983
10100,2015-09-09,cmr,ramu,adult,63,27,2197120.0,RKS19588
84309,2014-09-10,cmr,ramu,adult,52,18,44304.0,DESO2689
70505,2013-09-07,cmr,ramu,adult,56,26,240.0,USGS1748
72996,2006-08-20,cmr,ramu,adult,49,12,5664.0,RKS2428
70563,2008-07-30,swab,ramu,adult,42,12,192.0,RKS6691
72996,2005-07-25,cmr,ramu,adult,55,17,240.0,RKS1994
70736,2009-09-22,swab,ramu,adult,48,12,2304.0,RKS9531
84221,2013-09-10,cmr,ramu,adult,58,23,4704.0,DESO1583
10101,2015-08-24,cmr,ramu,adult,42,7,25937680,RKS18741
70550,2014-09-09,cmr,ramu,adult,46,10,1440.0,RKS18145
84218,2015-08-05,cmr,ramu,adult,64,28,4001.76,DESO2759
70556,2006-09-18,swab,ramu,adult,58,22,4128.0,RKS3956
72996,2006-07-17,swab,ramu,adult,56,11,13872.0,RKS2410
72996,2006-08-07,cmr,ramu,adult,53,20,9743.999999999998,RKS2517
72996,2006-07-17,cmr,ramu,adult,46,9,768.0,RKS2451
84221,2014-08-06,cmr,ramu,adult,48,13,144.0,DESO2351
70505,2015-06-23,cmr,ramu,adult,58,21,2791.2,RKS17884
71962,2008-08-16,swab,ramu,adult,44,11,816.0000000000001,RKS6599
10423,2011-07-29,swab,ramu,adult,50,13,1104.0,RKS12209
70550,2014-08-11,cmr,ramu,adult,59,23,125280.0,RKS17787
71962,2009-08-05,swab,ramu,adult,48,13,48.0,RKS7944
11469,2005-09-15,swab,ramu,adult,55,14,182112.0,RKS1863
10100,2015-09-09,cmr,ramu,adult,49,13,738220.8,RKS19676
70279,2013-08-15,cmr,ramu,adult,58,22,2592.0,USGS1827
70505,2013-07-26,cmr,ramu,adult,62,23,384.0,USGS1037
84221,2013-09-10,cmr,ramu,adult,47,12,96.0,DESO1632
70550,2006-09-27,cmr,ramu,adult,51,15,12336.0,RKS4084
10101,2015-08-25,cmr,ramu,adult,46,12,28903.68,RKS20096
50170,2010-09-13,cmr,ramu,adult,44,9,1014048.0,RKS11692
14000,2007-08-16,swab,ramu,adult,60,26,2688.0000000000005,RKS5030
70550,2007-07-06,cmr,ramu,adult,52,14,2112.0,RKS3985
11510,2009-09-11,swab,ramu,adult,42,8,48.0,RKS9355
70550,2016-07-12,cmr,ramu,adult,41,7,948158.08,RKS21334
70514,2009-08-08,swab,ramu,adult,66,37,13824.0,RKS7862
12621,2012-08-27,swab,ramu,adult,46,11,1152.0,RKS15154
10102,2015-08-27,cmr,ramu,adult,51,14,12591120,RKS19746
72996,2006-09-28,cmr,ramu,adult,50,12,5664.0,RKS3946
72996,2005-07-25,swab,ramu,adult,38,7,384.0,RKS1948
70563,2009-07-11,swab,ramu,adult,78,56,144.0,RKS7461
10101,2016-06-26,cmr,ramu,adult,56,17,1060545.04,RKS20978
70550,2015-07-12,cmr,ramu,adult,59,22,414.24,RKS18178
84309,2013-07-24,cmr,ramu,adult,49,16,192.0,DESO1376
70567,2013-07-14,cmr,ramu,adult,58,20,240.0,RKS16420
72463,2006-07-02,swab,ramu,adult,55,21,432.0,RKS2779
10102,2015-08-27,cmr,ramu,adult,44,8,5768000.0,RKS20197
10101,2015-09-11,cmr,ramu,adult,51,12,45213.6,RKS19871
72996,2006-08-20,cmr,ramu,adult,52,10,5664.0,RKS2463
10316,2006-08-26,swab,ramu,adult,48,13,1193904.0,RKS4507
72021,2014-09-15,cmr,ramu,adult,74,68,480.0,RKS17266
10100,2015-09-09,cmr,ramu,adult,51,14,7972480.0,RKS20458
70403,2007-08-14,swab,ramu,adult,61,23,576.0,RKS5946
84309,2014-09-11,cmr,ramu,adult,64,31,2880.0,DESO2510
84306,2013-09-12,cmr,ramu,adult,64,31,2400.0,DESO1700
72808,2015-06-08,cmr,ramu,adult,45,10,216.48,RKS17538
84221,2014-09-09,cmr,ramu,adult,50,17,720.0,DESO2665
10101,2016-06-25,cmr,ramu,adult,46,9,17840.0,RKS21176
70413,2015-07-31,cmr,ramu,adult,64,30,14952.48,RKS18820
10101,2016-06-24,cmr,ramu,adult,45,10,7600.0,RKS21042
10100,2015-09-14,cmr,ramu,adult,49,12,279173.76,RKS20529
72996,2006-07-17,cmr,ramu,adult,53,12,39072.0,RKS3573
84309,2014-09-10,cmr,ramu,adult,59,23,97248.00000000001,DESO2683
72996,2005-09-21,cmr,ramu,adult,46,12,772560.0,RKS2332
10100,2015-09-09,cmr,ramu,adult,67,34,111707.52,RKS19712
10102,2015-08-25,cmr,ramu,adult,50,10,4125654.24,RKS20362
72021,2014-05-25,cmr,ramu,adult,50,14,145296.0,RKS16679
72996,2009-07-03,cmr,ramu,adult,49,8,96.0,RKS7392
52127,2011-08-26,swab,ramu,adult,44,10,48.0,RKS12737
10100,2015-09-09,cmr,ramu,adult,64,27,4349308.8,RKS19695
72808,2016-07-06,cmr,ramu,adult,52,21,3227.704,RKS21212
72996,2007-06-01,swab,ramu,adult,48,10,9264.0,RKS2529
72336,2015-09-14,cmr,ramu,adult,62,29,81657.6,RKS20697
72336,2015-09-14,cmr,ramu,adult,45,10,287.04,RKS20690
50219,2010-09-13,cmr,ramu,adult,43,8,7654512.0,RKS11726
70134,2006-09-01,cmr,ramu,adult,55,20,1296.0,RKS3960
10314,2006-08-26,swab,ramu,adult,47,12,186336.0,RKS4465
70550,2016-07-12,cmr,ramu,adult,64,29,51631.872,RKS21350
70550,2006-08-13,cmr,ramu,adult,52,16,124944.0,RKS4476
70505,2014-09-07,cmr,ramu,adult,58,18,144.0,RKS17874
10222,2007-06-27,swab,ramu,adult,47,10,48.0,RKS5438
72996,2006-07-17,cmr,ramu,adult,53,11,98160.0,RKS3809
70449,2015-07-19,cmr,ramu,adult,63,33,237222.72,RKS18815
84221,2013-09-11,cmr,ramu,adult,53,16,2592.0,DESO1654
50170,2010-08-25,cmr,ramu,adult,44,10,6864.0,RKS11188
10101,2015-08-25,cmr,ramu,adult,46,12,227440.0,RKS20096
72996,2006-07-17,cmr,ramu,adult,48,10,1680.0,RKS3774
72996,2005-07-25,cmr,ramu,adult,50,12,192.0,RKS2223
10314,2006-08-26,swab,ramu,adult,43,7,9792.0,RKS4469
10102,2015-08-27,cmr,ramu,adult,46,9,512268.96,RKS19745
72336,2016-07-06,cmr,ramu,adult,53,17,71806.432,RKS21289
70563,2009-07-11,swab,ramu,adult,60,21,4560.0,RKS7517
70550,2016-08-10,cmr,ramu,adult,45,11,17942.288,RKS21947
72996,2005-07-25,swab,ramu,adult,37,6,13632.0,RKS1369
70134,2006-08-16,cmr,ramu,adult,58,17,68208.0,RKS3206
84221,2013-07-23,cmr,ramu,adult,40,10,144.0,DESO1225
70449,2016-07-09,cmr,ramu,adult,56,18,3507200.0,RKS20874
72808,2016-07-06,cmr,ramu,adult,60,24,479.792,RKS21242
10102,2015-08-25,cmr,ramu,adult,53,17,9235534.56,RKS20383
84309,2014-08-06,cmr,ramu,adult,53,19,9408.0,DESO2149
72996,2005-08-29,cmr,ramu,adult,52,14,22560.0,RKS2239
10101,2015-08-27,cmr,ramu,adult,46,8,109340.16,RKS19784
50170,2010-09-13,cmr,ramu,adult,46,10,2485104.0,RKS11723
10100,2016-06-26,cmr,ramu,adult,54,18,25600.0,RKS20968
72554,2009-07-10,swab,ramu,adult,58,19,144.0,RKS7450
70550,2013-08-04,cmr,ramu,adult,54,16,181248.0,USGS1103
84221,2014-06-17,cmr,ramu,adult,48,14,960.0,DESO1870
84309,2013-08-23,cmr,ramu,adult,50,15,336.00000000000006,DESO1526
11858,2015-08-25,cmr,ramu,adult,55,26,65632.32,RKS19963
70550,2006-08-31,cmr,ramu,adult,48,13,13728.0,RKS3897
72996,2016-07-11,swab,ramu,adult,51,13,4190844.784,RKS21308
10100,2015-09-10,cmr,ramu,adult,60,23,10079600,RKS20495
72996,2007-08-29,cmr,ramu,adult,57,18,1104.0,RKS5988
70736,2008-09-18,swab,ramu,adult,60,24,44784.0,RKS7647
70255,2007-08-17,swab,ramu,adult,68,28,5328.000000000001,RKS5950
72996,2005-08-29,cmr,ramu,adult,50,15,20112.000000000004,RKS1433
72996,2014-06-25,cmr,ramu,adult,46,10,197136.0,RKS16781
50133,2010-08-23,swab,ramu,adult,54,20,8784.0,RKS11106
10102,2015-08-25,cmr,ramu,adult,43,10,186080.0,RKS20355
72996,2006-09-28,cmr,ramu,adult,53,12,90480.0,RKS4095
84309,2013-09-13,cmr,ramu,adult,57,20,8352.0,DESO1727
70583,2008-08-28,swab,ramu,adult,54,19,38784.0,RKS6959
70550,2014-08-10,cmr,ramu,adult,54,22,82608.0,RKS17752
12621,2016-06-24,cmr,ramu,adult,51,13,1520.0,RKS21039
70550,2014-08-10,cmr,ramu,adult,54,17,70080.0,RKS17784
82682,2014-07-16,cmr,ramu,adult,50,15,52991.99999999999,DESO2038
72336,2015-09-13,cmr,ramu,adult,61,24,311.52,RKS20677
10285,2014-07-08,cmr,ramu,adult,53,20,192.0,RKS16276
11858,2015-08-25,cmr,ramu,adult,52,14,9037600.0,RKS19969
70156,2005-08-25,swab,ramu,adult,50,12,1248.0,RKS3096
70550,2014-08-11,cmr,ramu,adult,44,10,17616.0,RKS17798
84221,2014-06-18,cmr,ramu,adult,53,18,162528.0,DESO1909
70550,2016-07-13,cmr,ramu,adult,63,25,444535.448,RKS21650
84221,2014-06-19,cmr,ramu,adult,56,17,96.0,DESO1791
72996,2008-07-15,cmr,ramu,adult,58,10,651168.0,RKS6292
10316,2006-08-26,swab,ramu,adult,59,20,589536.0,RKS4508
84309,2014-08-06,cmr,ramu,adult,55,24,12336.0,DESO2412
72996,2006-07-17,cmr,ramu,adult,51,12,528.0,RKS3751
72996,2006-07-17,cmr,ramu,adult,51,12,768.0,RKS3751
70550,2014-06-24,cmr,ramu,adult,52,15,12192.0,RKS16996
11858,2015-08-26,cmr,ramu,adult,51,16,1253257.92,RKS20100
70550,2016-07-12,cmr,ramu,adult,60,31,792045.32,RKS21530
84309,2014-09-11,cmr,ramu,adult,46,12,768.0,DESO2506
10100,2015-09-14,cmr,ramu,adult,58,22,4642.08,RKS19868
72996,2015-07-05,cmr,ramu,adult,52,15,1679.52,RKS18342
72996,2016-07-11,swab,ramu,adult,54,15,876.336,RKS21307
70413,2015-08-29,cmr,ramu,adult,64,35,12283.68,RKS19494
70550,2006-08-31,cmr,ramu,adult,51,14,720.0,RKS3925
70550,2013-08-08,swab,ramu,adult,55,16,2832.0,USGS1080
10100,2015-09-09,cmr,ramu,adult,53,17,2823788.16,RKS20475
11493,2008-08-09,swab,ramu,adult,52,17,48.0,RKS6811
70134,2006-08-16,cmr,ramu,adult,58,16,143520.0,RKS3199
10476,2012-06-07,swab,ramu,adult,54,14,96.0,RKS13372
70550,2016-07-13,cmr,ramu,adult,56,19,2681.792,RKS21408
12503,2010-07-13,swab,ramu,adult,51,14,48.0,RKS9872
70550,2016-08-10,cmr,ramu,adult,45,12,14484.048,RKS21884
72996,2007-08-29,cmr,ramu,adult,53,14,1104.0,RKS5991
10101,2015-08-27,cmr,ramu,adult,44,12,3169889.76,RKS19797
10101,2015-08-26,cmr,ramu,adult,43,9,1433136.0,RKS19930
72996,2007-08-29,cmr,ramu,adult,50,10,864.0,RKS5993
10101,2015-08-24,cmr,ramu,adult,47,9,3721120.0,RKS19732
84309,2014-08-06,cmr,ramu,adult,46,12,720.0,DESO2273
72808,2015-09-13,cmr,ramu,adult,57,21,27808.8,RKS20595
70413,2013-08-25,cmr,ramu,adult,54,18,7440.0,USGS1848
84309,2014-07-17,cmr,ramu,adult,49,11,17808.0,DESO2002
11858,2015-08-25,cmr,ramu,adult,50,10,15327.84,RKS19985
84309,2014-08-06,cmr,ramu,adult,51,15,9600.0,DESO2418
10102,2012-08-27,swab,ramu,adult,47,10,336.00000000000006,RKS15177
10100,2015-09-09,cmr,ramu,adult,65,33,4842400.0,RKS19667
72996,2006-07-17,cmr,ramu,adult,54,12,1669200.0,RKS2450
72996,2016-07-11,swab,ramu,adult,50,13,4464.872,RKS21309
11858,2015-08-25,cmr,ramu,adult,49,11,19768.8,RKS19998
84309,2014-09-10,cmr,ramu,adult,52,20,1728.0,DESO2539
72808,2015-08-15,cmr,ramu,adult,58,21,1142.4,RKS18727
72996,2006-09-28,cmr,ramu,adult,47,10,528.0,RKS4093
11064,2011-07-29,swab,ramu,adult,43,8,1680.0,RKS12224
70550,2006-09-27,cmr,ramu,adult,56,19,14447.999999999998,RKS4091
72996,2005-08-29,cmr,ramu,adult,45,11,26592.0,RKS2237
72996,2009-08-16,cmr,ramu,adult,56,16,624.0,RKS7940
10100,2015-09-10,cmr,ramu,adult,54,17,26285200,RKS20485
72996,2010-07-21,swab,ramu,adult,50,13,48.0,RKS10044
